province_code,candidate_id
1,1079615
2,2078332
3,3020101
4,4011281
5,5005499
6,6004607
7,7003275
8,8006240
9,9007682
10,10009063
11,11002895
12,12014504
13,13007048
14,14010442
15,15013754
16,16012642
17,17014773
18,18019678
19,19014867
21,21020052
22,22012932
23,23008991
24,24008714
25,25019784
26,26021556
27,27009656
28,28035306
29,29031587
30,30016401
31,31009669
32,32007943
33,33012473
34,34017635
35,35012691
36,36004474
37,37017843
38,38012825
39,39010786
40,40022188
41,41013558
42,42015057
43,43010275
44,44011396
45,45005834
46,46008901
47,47011785
48,48028833
49,49014100
50,50014406
51,51016414
52,52011898
53,53014148
54,54013531
55,55013068
56,56011765
57,57010606
58,58008215
59,59009336
60,60005370
61,61009324
62,62005517
63,63006396
64,64006216
